,Time,Time(s),Temp(K),Wavelength,QWP_Pos
0,2015-07-18 20:06:32,0,20.0,1053,1
1,2015-07-18 20:06:38,6,20.0,1053,1
2,2015-07-18 20:06:43,11,20.0,1053,1
3,2015-07-18 20:06:49,17,20.0,1053,1
4,2015-07-18 20:06:55,23,20.0,1053,1
5,2015-07-18 20:07:00,28,20.0,1053,1
6,2015-07-18 20:07:06,34,20.0,1053,1
7,2015-07-18 20:07:11,39,20.0,1053,1
8,2015-07-18 20:07:17,45,20.0,1053,1
9,2015-07-18 20:07:23,51,20.0,1053,1
10,2015-07-18 20:07:29,57,20.0,1053,1
11,2015-07-18 20:07:34,62,20.0,1053,1
12,2015-07-18 20:07:39,67,20.0,1053,1
13,2015-07-18 20:07:45,73,20.0,1053,1
14,2015-07-18 20:07:50,78,20.0,1053,1
15,2015-07-18 20:07:55,83,20.0,1053,1
16,2015-07-18 20:08:00,88,20.0,1053,1
17,2015-07-18 20:08:05,93,20.0,1053,1
18,2015-07-18 20:08:10,98,20.0,1053,1
19,2015-07-18 20:08:16,104,20.0,1053,1
20,2015-07-18 20:08:21,109,20.0,1053,1
21,2015-07-18 20:08:26,114,20.0,1053,1
22,2015-07-18 20:08:31,119,20.0,1053,1
23,2015-07-18 20:08:37,125,20.0,1053,1
24,2015-07-18 20:08:43,131,20.0,1053,1
25,2015-07-18 20:08:49,137,20.0,1053,1
26,2015-07-18 20:08:54,142,20.0,1053,1
27,2015-07-18 20:09:00,148,20.0,1053,1
28,2015-07-18 20:09:06,154,20.0,1053,1
29,2015-07-18 20:09:11,159,20.0,1053,1
30,2015-07-18 20:09:16,164,20.0,1053,1
31,2015-07-18 20:09:21,169,20.0,1053,1
32,2015-07-18 20:09:27,175,20.0,1053,1
33,2015-07-18 20:09:32,180,20.0,1053,1
34,2015-07-18 20:09:38,186,20.0,1053,1
35,2015-07-18 20:09:43,191,20.0,1053,1
36,2015-07-18 20:09:48,196,20.0,1053,1
37,2015-07-18 20:09:54,202,20.0,1053,1
38,2015-07-18 20:09:59,207,20.0,1053,1
39,2015-07-18 20:10:04,212,20.0,1053,1
40,2015-07-18 20:10:09,217,20.0,1053,1
41,2015-07-18 20:10:14,222,20.0,1053,1
42,2015-07-18 20:10:20,228,20.0,1053,1
43,2015-07-18 20:10:25,233,20.0,1053,1
44,2015-07-18 20:10:31,239,20.0,1053,1
45,2015-07-18 20:10:36,244,20.0,1053,1
46,2015-07-18 20:10:41,249,20.0,1053,1
47,2015-07-18 20:10:46,254,20.0,1053,1
48,2015-07-18 20:10:52,260,20.0,1053,1
49,2015-07-18 20:10:58,266,20.0,1053,1
50,2015-07-18 20:11:03,271,20.0,1053,1
51,2015-07-18 20:11:08,276,20.0,1053,1
52,2015-07-18 20:11:14,282,20.0,1053,1
53,2015-07-18 20:11:19,287,20.0,1053,1
54,2015-07-18 20:11:24,292,20.0,1053,1
55,2015-07-18 20:11:30,298,20.0,1053,1
56,2015-07-18 20:11:35,303,20.0,1053,1
57,2015-07-18 20:11:40,308,20.0,1053,1
58,2015-07-18 20:11:45,313,20.0,1053,1
59,2015-07-18 20:11:50,318,20.0,1053,1
60,2015-07-18 20:11:55,323,20.0,1053,1
61,2015-07-18 20:12:00,328,20.0,1053,1
62,2015-07-18 20:12:05,333,20.0,1053,1
63,2015-07-18 20:12:10,338,20.0,1053,1
64,2015-07-18 20:12:15,343,20.0,1053,1
65,2015-07-18 20:12:21,349,20.0,1053,1
66,2015-07-18 20:12:27,355,20.0,1053,1
67,2015-07-18 20:12:32,360,20.0,1053,1
68,2015-07-18 20:12:37,365,20.0,1053,1
69,2015-07-18 20:12:42,370,20.0,1053,1
70,2015-07-18 20:12:47,375,20.0,1053,1
71,2015-07-18 20:12:52,380,20.0,1053,1
72,2015-07-18 20:12:57,385,20.0,1053,1
73,2015-07-18 20:13:02,390,20.0,1053,1
74,2015-07-18 20:13:07,395,20.0,1053,1
75,2015-07-18 20:13:12,400,20.0,1053,1
76,2015-07-18 20:13:17,405,20.0,1053,1
77,2015-07-18 20:13:23,411,20.0,1053,1
78,2015-07-18 20:13:28,416,20.0,1053,1
79,2015-07-18 20:13:33,421,20.0,1053,1
