,Time,Time(s),Temp(K),Wavelength,QWP_Pos
121,2015-07-18 14:27:18,660,20.0,1045,1
122,2015-07-18 14:27:24,666,20.0,1045,1
123,2015-07-18 14:27:29,671,20.0,1045,1
124,2015-07-18 14:27:34,676,20.0,1045,1
125,2015-07-18 14:27:40,682,20.0,1045,1
126,2015-07-18 14:27:45,687,20.0,1045,1
127,2015-07-18 14:27:51,693,20.0,1045,1
128,2015-07-18 14:27:56,698,20.0,1045,1
129,2015-07-18 14:28:02,704,20.0,1045,1
130,2015-07-18 14:28:07,709,20.0,1045,1
131,2015-07-18 14:28:13,715,20.0,1045,1
132,2015-07-18 14:28:19,721,20.0,1045,1
133,2015-07-18 14:28:24,726,20.0,1045,1
134,2015-07-18 14:28:30,732,20.0,1045,1
135,2015-07-18 14:28:35,737,20.0,1045,1
136,2015-07-18 14:28:40,742,20.0,1045,1
137,2015-07-18 14:28:45,747,20.0,1045,1
138,2015-07-18 14:28:50,752,20.0,1045,1
139,2015-07-18 14:28:55,757,20.0,1045,1
140,2015-07-18 14:29:00,762,20.0,1045,1
141,2015-07-18 14:29:05,767,20.0,1045,1
142,2015-07-18 14:29:11,773,20.0,1045,1
143,2015-07-18 14:29:16,778,20.0,1045,1
144,2015-07-18 14:29:21,783,20.0,1045,1
145,2015-07-18 14:29:26,788,20.0,1045,1
146,2015-07-18 14:29:32,794,20.0,1045,1
147,2015-07-18 14:29:37,799,20.0,1045,1
148,2015-07-18 14:29:43,805,20.0,1045,1
149,2015-07-18 14:29:48,810,20.0,1045,1
150,2015-07-18 14:29:53,815,20.0,1045,1
151,2015-07-18 14:29:58,820,20.0,1045,1
152,2015-07-18 14:30:04,826,20.0,1045,1
153,2015-07-18 14:30:09,831,20.0,1045,1
154,2015-07-18 14:30:14,836,20.0,1045,1
155,2015-07-18 14:30:19,841,20.0,1045,1
156,2015-07-18 14:30:25,847,20.0,1045,1
157,2015-07-18 14:30:30,852,20.0,1045,1
158,2015-07-18 14:30:35,857,20.0,1045,1
159,2015-07-18 14:30:41,863,20.0,1045,1
160,2015-07-18 14:30:46,868,20.0,1045,1
161,2015-07-18 14:30:51,873,20.0,1045,1
162,2015-07-18 14:30:57,879,20.0,1045,1
163,2015-07-18 14:31:02,884,20.0,1045,1
164,2015-07-18 14:31:07,889,20.0,1045,1
165,2015-07-18 14:31:12,894,20.0,1045,1
166,2015-07-18 14:31:18,900,20.0,1045,1
167,2015-07-18 14:31:23,905,20.0,1045,1
168,2015-07-18 14:31:29,911,20.0,1045,1
169,2015-07-18 14:31:32,914,20.0,1045,1
0,2015-07-18 14:31:35,917,20.0,1045,1
1,2015-07-18 14:31:38,920,20.0,1045,1
2,2015-07-18 14:31:41,923,20.0,1045,1
3,2015-07-18 14:31:46,928,20.0,1045,1
4,2015-07-18 14:31:51,933,20.0,1045,1
5,2015-07-18 14:31:56,938,20.0,1045,1
6,2015-07-18 14:32:01,943,20.0,1045,1
7,2015-07-18 14:32:06,948,20.0,1045,1
8,2015-07-18 14:32:11,953,20.0,1045,1
9,2015-07-18 14:32:17,959,20.0,1045,1
10,2015-07-18 14:32:22,964,20.0,1045,1
11,2015-07-18 14:32:28,970,20.0,1045,1
12,2015-07-18 14:32:33,975,20.0,1045,1
13,2015-07-18 14:32:38,980,20.0,1045,1
14,2015-07-18 14:32:44,986,20.0,1045,1
15,2015-07-18 14:32:50,992,20.0,1045,1
16,2015-07-18 14:32:55,997,20.0,1045,1
17,2015-07-18 14:33:01,1003,20.0,1045,1
18,2015-07-18 14:33:06,1008,20.0,1045,1
19,2015-07-18 14:33:11,1013,20.0,1045,1
20,2015-07-18 14:33:16,1018,20.0,1045,1
21,2015-07-18 14:33:21,1023,20.0,1045,1
22,2015-07-18 14:33:27,1029,20.0,1045,1
23,2015-07-18 14:33:33,1035,20.0,1045,1
24,2015-07-18 14:33:39,1041,20.0,1045,1
25,2015-07-18 14:33:44,1046,20.0,1045,1
26,2015-07-18 14:33:49,1051,20.0,1045,1
27,2015-07-18 14:33:54,1056,20.0,1045,1
28,2015-07-18 14:33:59,1061,20.0,1045,1
29,2015-07-18 14:34:04,1066,20.0,1045,1
30,2015-07-18 14:34:10,1072,20.0,1045,1
31,2015-07-18 14:34:15,1077,20.0,1045,1
32,2015-07-18 14:34:21,1083,20.0,1045,1
33,2015-07-18 14:34:26,1088,20.0,1045,1
34,2015-07-18 14:34:32,1094,20.0,1045,1
35,2015-07-18 14:34:37,1099,20.0,1045,1
36,2015-07-18 14:34:43,1105,20.0,1045,1
37,2015-07-18 14:34:48,1110,20.0,1045,1
38,2015-07-18 14:34:53,1115,20.0,1045,1
39,2015-07-18 14:34:58,1120,20.0,1045,1
40,2015-07-18 14:35:03,1125,20.0,1045,1
41,2015-07-18 14:35:08,1130,20.0,1045,1
42,2015-07-18 14:35:14,1136,20.0,1045,1
43,2015-07-18 14:35:20,1142,20.0,1045,1
44,2015-07-18 14:35:25,1147,20.0,1045,1
45,2015-07-18 14:35:30,1152,20.0,1045,1
46,2015-07-18 14:35:35,1157,20.0,1045,1
47,2015-07-18 14:35:41,1163,20.0,1045,1
48,2015-07-18 14:35:46,1168,20.0,1045,1
49,2015-07-18 14:35:51,1173,20.0,1045,1
50,2015-07-18 14:35:57,1179,20.0,1045,1
51,2015-07-18 14:36:03,1185,20.0,1045,1
52,2015-07-18 14:36:08,1190,20.0,1045,1
53,2015-07-18 14:36:13,1195,20.0,1045,1
54,2015-07-18 14:36:19,1201,20.0,1045,1
55,2015-07-18 14:36:25,1207,20.0,1045,1
56,2015-07-18 14:36:30,1212,20.0,1045,1
57,2015-07-18 14:36:35,1217,20.0,1045,1
58,2015-07-18 14:36:40,1222,20.0,1045,1
59,2015-07-18 14:36:45,1227,20.0,1045,1
60,2015-07-18 14:36:50,1232,20.0,1045,1
61,2015-07-18 14:36:56,1238,20.0,1045,1
62,2015-07-18 14:37:01,1243,20.0,1045,1
63,2015-07-18 14:37:06,1248,20.0,1045,1
64,2015-07-18 14:37:11,1253,20.0,1045,1
65,2015-07-18 14:37:16,1258,20.0,1045,1
66,2015-07-18 14:37:22,1264,20.0,1045,1
67,2015-07-18 14:37:28,1270,20.0,1045,1
68,2015-07-18 14:37:33,1275,20.0,1045,1
69,2015-07-18 14:37:38,1280,20.0,1045,1
70,2015-07-18 14:37:43,1285,20.0,1045,1
71,2015-07-18 14:37:49,1291,20.0,1045,1
72,2015-07-18 14:37:55,1297,20.0,1045,1
73,2015-07-18 14:38:01,1303,20.0,1045,1
74,2015-07-18 14:38:07,1309,20.0,1045,1
75,2015-07-18 14:38:12,1314,20.0,1045,1
76,2015-07-18 14:38:18,1320,20.0,1045,1
77,2015-07-18 14:38:23,1325,20.0,1045,1
78,2015-07-18 14:38:28,1330,20.0,1045,1
79,2015-07-18 14:38:34,1336,20.0,1045,1
80,2015-07-18 14:38:41,1343,20.0,1045,1
81,2015-07-18 14:38:46,1348,20.0,1045,1
82,2015-07-18 14:38:51,1353,20.0,1045,1
83,2015-07-18 14:38:56,1358,20.0,1045,1
84,2015-07-18 14:39:02,1364,20.0,1045,1
85,2015-07-18 14:39:07,1369,20.0,1045,1
86,2015-07-18 14:39:12,1374,20.0,1045,1
87,2015-07-18 14:39:18,1380,20.0,1045,1
88,2015-07-18 14:39:23,1385,20.0,1045,1
89,2015-07-18 14:39:29,1391,20.0,1045,1
90,2015-07-18 14:39:34,1396,20.0,1045,1
91,2015-07-18 14:39:39,1401,20.0,1045,1
92,2015-07-18 14:39:44,1406,20.0,1045,1
93,2015-07-18 14:39:49,1411,20.0,1045,1
94,2015-07-18 14:39:54,1416,20.0,1045,1
95,2015-07-18 14:39:59,1421,20.0,1045,1
96,2015-07-18 14:40:04,1426,20.0,1045,1
97,2015-07-18 14:40:10,1432,20.0,1045,1
98,2015-07-18 14:40:16,1438,20.0,1045,1
99,2015-07-18 14:40:21,1443,20.0,1045,1
100,2015-07-18 14:40:26,1448,20.0,1045,1
101,2015-07-18 14:40:32,1454,20.0,1045,1
102,2015-07-18 14:40:37,1459,20.0,1045,1
103,2015-07-18 14:40:43,1465,20.0,1045,1
104,2015-07-18 14:40:49,1471,20.0,1045,1
105,2015-07-18 14:40:54,1476,20.0,1045,1
106,2015-07-18 14:40:59,1481,20.0,1045,1
107,2015-07-18 14:41:04,1486,20.0,1045,1
108,2015-07-18 14:41:09,1491,20.0,1045,1
109,2015-07-18 14:41:15,1497,20.0,1045,1
110,2015-07-18 14:41:20,1502,20.0,1045,1
111,2015-07-18 14:41:26,1508,20.0,1045,1
112,2015-07-18 14:41:32,1514,20.0,1045,1
113,2015-07-18 14:41:37,1519,20.0,1045,1
114,2015-07-18 14:41:42,1524,20.0,1045,1
115,2015-07-18 14:41:47,1529,20.0,1045,1
116,2015-07-18 14:41:53,1535,20.0,1045,1
117,2015-07-18 14:41:59,1541,20.0,1045,1
118,2015-07-18 14:42:05,1547,20.0,1045,1
119,2015-07-18 14:42:12,1554,20.0,1045,1
120,2015-07-18 14:42:17,1559,20.0,1045,1
121,2015-07-18 14:42:23,1565,20.0,1045,1
122,2015-07-18 14:42:29,1571,20.0,1045,1
123,2015-07-18 14:42:34,1576,20.0,1045,1
124,2015-07-18 14:42:40,1582,20.0,1045,1
125,2015-07-18 14:42:45,1587,20.0,1045,1
126,2015-07-18 14:42:51,1593,20.0,1045,1
127,2015-07-18 14:42:56,1598,20.0,1045,1
128,2015-07-18 14:43:02,1604,20.0,1045,1
129,2015-07-18 14:43:07,1609,20.0,1045,1
130,2015-07-18 14:43:13,1615,20.0,1045,1
131,2015-07-18 14:43:19,1621,20.0,1045,1
132,2015-07-18 14:43:24,1626,20.0,1045,1
133,2015-07-18 14:43:30,1632,20.0,1045,1
134,2015-07-18 14:43:35,1637,20.0,1045,1
135,2015-07-18 14:43:40,1642,20.0,1045,1
136,2015-07-18 14:43:46,1648,20.0,1045,1
137,2015-07-18 14:43:52,1654,20.0,1045,1
138,2015-07-18 14:43:57,1659,20.0,1045,1
