,Time,Time(s),Temp(K)
0,2015-07-14 14:07:12,0,20.0
1,2015-07-14 14:07:17,5,20.0
2,2015-07-14 14:07:23,11,20.0
3,2015-07-14 14:07:29,17,20.0
4,2015-07-14 14:07:34,22,20.0
5,2015-07-14 14:07:40,28,20.0
6,2015-07-14 14:07:46,34,20.0
7,2015-07-14 14:07:51,39,20.0
8,2015-07-14 14:07:57,45,20.0
9,2015-07-14 14:08:02,50,20.0
10,2015-07-14 14:08:07,55,20.0
11,2015-07-14 14:08:12,60,20.0
12,2015-07-14 14:08:17,65,20.0
13,2015-07-14 14:08:23,71,20.0
14,2015-07-14 14:08:29,77,20.0
15,2015-07-14 14:08:35,83,20.0
16,2015-07-14 14:08:40,88,20.0
17,2015-07-14 14:08:45,93,20.0
18,2015-07-14 14:08:51,99,20.0
19,2015-07-14 14:08:56,104,20.0
20,2015-07-14 14:09:01,109,20.0
21,2015-07-14 14:09:07,115,20.0
22,2015-07-14 14:09:12,120,20.0
23,2015-07-14 14:09:17,125,20.0
24,2015-07-14 14:09:22,130,20.0
25,2015-07-14 14:09:28,136,20.0
26,2015-07-14 14:09:33,141,20.0
27,2015-07-14 14:09:38,146,20.0
28,2015-07-14 14:09:43,151,20.0
29,2015-07-14 14:09:48,156,20.0
30,2015-07-14 14:09:54,162,20.0
31,2015-07-14 14:09:59,167,20.0
32,2015-07-14 14:10:04,172,20.0
33,2015-07-14 14:10:10,178,20.0
34,2015-07-14 14:10:15,183,20.0
35,2015-07-14 14:10:21,189,20.0
36,2015-07-14 14:10:27,195,20.0
37,2015-07-14 14:10:32,200,20.0
38,2015-07-14 14:10:37,205,20.0
39,2015-07-14 14:10:42,210,20.0
40,2015-07-14 14:10:48,216,20.0
41,2015-07-14 14:10:53,221,20.0
42,2015-07-14 14:10:58,226,20.0
43,2015-07-14 14:11:03,231,20.0
44,2015-07-14 14:11:08,236,20.0
45,2015-07-14 14:11:14,242,20.0
46,2015-07-14 14:11:20,248,20.0
47,2015-07-14 14:11:26,254,20.0
48,2015-07-14 14:11:31,259,20.0
49,2015-07-14 14:11:36,264,20.0
50,2015-07-14 14:11:42,270,20.0
51,2015-07-14 14:11:47,275,20.0
52,2015-07-14 14:11:53,281,20.0
53,2015-07-14 14:11:59,287,20.0
54,2015-07-14 14:12:04,292,20.0
55,2015-07-14 14:12:10,298,20.0
56,2015-07-14 14:12:16,304,20.0
57,2015-07-14 14:12:21,309,20.0
58,2015-07-14 14:12:26,314,20.0
59,2015-07-14 14:12:32,320,20.0
60,2015-07-14 14:12:37,325,20.0
61,2015-07-14 14:12:42,330,20.0
62,2015-07-14 14:12:47,335,20.0
63,2015-07-14 14:12:53,341,20.0
64,2015-07-14 14:12:58,346,20.0
65,2015-07-14 14:13:04,352,20.0
66,2015-07-14 14:13:09,357,20.0
