,Time,Time(s),Temp(K)
0,2015-07-14 19:11:38,0,19.999000549316406
1,2015-07-14 19:11:44,6,20.0
2,2015-07-14 19:11:49,11,20.0
3,2015-07-14 19:11:55,17,20.0
4,2015-07-14 19:12:01,23,20.0
5,2015-07-14 19:12:03,25,20.0
6,2015-07-14 19:12:06,28,20.0
7,2015-07-14 19:12:12,34,20.0
8,2015-07-14 19:12:17,39,20.0
9,2015-07-14 19:12:22,44,20.0
10,2015-07-14 19:12:28,50,20.0
11,2015-07-14 19:12:33,55,20.0
12,2015-07-14 19:12:39,61,20.0
13,2015-07-14 19:12:44,66,20.0
14,2015-07-14 19:12:49,71,20.000999450683594
15,2015-07-14 19:12:54,76,20.0
16,2015-07-14 19:13:00,82,20.0
17,2015-07-14 19:13:05,87,20.0
18,2015-07-14 19:13:10,92,20.0
19,2015-07-14 19:13:16,98,20.0
20,2015-07-14 19:13:21,103,20.0
21,2015-07-14 19:13:27,109,20.0
22,2015-07-14 19:13:32,114,20.0
23,2015-07-14 19:13:38,120,20.0
24,2015-07-14 19:13:44,126,20.0
25,2015-07-14 19:13:50,132,20.0
26,2015-07-14 19:13:55,137,20.0
27,2015-07-14 19:14:01,143,20.0
28,2015-07-14 19:14:06,148,20.0
29,2015-07-14 19:14:12,154,20.0
30,2015-07-14 19:14:18,160,20.0
31,2015-07-14 19:14:23,165,20.0
32,2015-07-14 19:14:28,170,20.0
33,2015-07-14 19:14:34,176,20.0
34,2015-07-14 19:14:39,181,20.0
35,2015-07-14 19:14:44,186,19.999000549316406
36,2015-07-14 19:14:50,192,20.0
37,2015-07-14 19:14:55,197,20.0
38,2015-07-14 19:15:00,202,20.0
39,2015-07-14 19:15:06,208,20.0
40,2015-07-14 19:15:12,214,20.0
41,2015-07-14 19:15:18,220,20.0
42,2015-07-14 19:15:24,226,20.0
43,2015-07-14 19:15:29,231,20.0
44,2015-07-14 19:15:35,237,20.0
45,2015-07-14 19:15:40,242,20.0
46,2015-07-14 19:15:46,248,20.0
47,2015-07-14 19:15:51,253,20.0
48,2015-07-14 19:15:57,259,20.0
49,2015-07-14 19:16:03,265,20.0
50,2015-07-14 19:16:09,271,20.0
51,2015-07-14 19:16:15,277,20.0
52,2015-07-14 19:16:21,283,20.0
53,2015-07-14 19:16:26,288,20.0
54,2015-07-14 19:16:31,293,20.0
55,2015-07-14 19:16:37,299,20.0
56,2015-07-14 19:16:43,305,20.0
57,2015-07-14 19:16:48,310,20.0
58,2015-07-14 19:16:53,315,20.0
59,2015-07-14 19:16:59,321,20.0
60,2015-07-14 19:17:04,326,20.0
61,2015-07-14 19:17:09,331,20.0
62,2015-07-14 19:17:15,337,19.999000549316406
63,2015-07-14 19:17:21,343,20.0
64,2015-07-14 19:17:26,348,20.0
65,2015-07-14 19:17:31,353,19.999000549316406
66,2015-07-14 19:17:37,359,20.0
67,2015-07-14 19:17:42,364,20.0
68,2015-07-14 19:17:47,369,20.0
69,2015-07-14 19:17:52,374,20.0
70,2015-07-14 19:17:58,380,20.0
71,2015-07-14 19:18:04,386,20.0
72,2015-07-14 19:18:09,391,20.0
73,2015-07-14 19:18:15,397,20.0
74,2015-07-14 19:18:21,403,20.0
75,2015-07-14 19:18:26,408,20.0
76,2015-07-14 19:18:32,414,20.0
77,2015-07-14 19:18:37,419,20.0
78,2015-07-14 19:18:42,424,20.000999450683594
79,2015-07-14 19:18:47,429,20.000999450683594
80,2015-07-14 19:18:53,435,20.000999450683594
81,2015-07-14 19:18:58,440,20.0
82,2015-07-14 19:19:03,445,20.000999450683594
83,2015-07-14 19:19:08,450,20.000999450683594
84,2015-07-14 19:19:14,456,20.0
85,2015-07-14 19:19:19,461,20.0
86,2015-07-14 19:19:24,466,20.0
87,2015-07-14 19:19:30,472,20.0
88,2015-07-14 19:19:36,478,20.0
89,2015-07-14 19:19:41,483,20.0
90,2015-07-14 19:19:47,489,20.0
91,2015-07-14 19:19:52,494,20.0
92,2015-07-14 19:19:59,501,20.0
93,2015-07-14 19:20:05,507,20.0
94,2015-07-14 19:20:11,513,20.0
95,2015-07-14 19:20:17,519,20.0
96,2015-07-14 19:20:23,525,20.0
97,2015-07-14 19:20:29,531,20.0
98,2015-07-14 19:20:34,536,20.0
99,2015-07-14 19:20:40,542,20.0
100,2015-07-14 19:20:45,547,20.0
101,2015-07-14 19:20:51,553,20.0
102,2015-07-14 19:20:57,559,20.0
103,2015-07-14 19:21:02,564,20.0
104,2015-07-14 19:21:08,570,20.0
105,2015-07-14 19:21:14,576,20.0
106,2015-07-14 19:21:19,581,20.0
107,2015-07-14 19:21:24,586,20.0
108,2015-07-14 19:21:29,591,20.0
109,2015-07-14 19:21:35,597,20.0
110,2015-07-14 19:21:40,602,20.0
111,2015-07-14 19:21:46,608,20.0
112,2015-07-14 19:21:52,614,20.0
113,2015-07-14 19:21:58,620,20.0
114,2015-07-14 19:22:03,625,20.0
115,2015-07-14 19:22:09,631,20.0
116,2015-07-14 19:22:15,637,20.0
117,2015-07-14 19:22:21,643,20.0
