,Wavelength(nm),B-Field(G),B-Field Orientation,Events(MeV),Raw Events(MeV),Power Drop,Power Drop Err,Asym Diff,Asym Diff Err,Loff A,Loff A Err,Loff B,Loff B Err,Loff g,Loff g Err,Loff w,Loff w Err,Loff P,Loff P Err
84426,1045.0,-10.0,LF,183.3,206.0,0.35691311591824226,0.002588312061044177,0.007675200290221565,0.00549918927539436,0.046723725315138305,0.00024654129263620734,0.04819554426650079,0.0005609231250908613,0.9236800874398737,0.021904180421860955,,,,
84430,1045.0,-20.0,LF,183.1,205.8,0.419097314580018,0.0020386666094206777,0.00418498381394062,0.004728410027555598,0.0635200198033142,0.0002526671984228506,0.05056856946355294,0.00057575792079463,0.9237715849514782,0.02139539543729979,,,,
84434,1045.0,2250.0,LF,183.3,205.9,0.4979734767240307,0.0009922441539206147,-0.008572919730026687,-0.0025778506335386964,0.06402344092174041,0.007618420099535604,0.11879735109231258,0.0074587872366487255,0.070888038912127,0.0059087168625123025,,,,
84438,1045.0,2750.0,LF,182.9,205.5,0.5060690416753214,0.0009674199861051578,-0.00440656694165195,-0.002543906116812384,0.08811324864443702,0.008661927790091718,0.09532993911209595,0.00850106744184772,0.06646647147743295,0.007732199701774056,,,,
84442,1045.0,3250.0,LF,183.4,206.0,0.5150489452387259,0.0009068976963343212,-0.0060956334351838105,-0.0024180090241745084,0.06328758877920769,0.03097265789084974,0.12846380712509275,0.030822191074893906,0.032892342231615884,0.009015505395381049,,,,
84446,1045.0,-2250.0,LF,136.9,153.8,0.49903368067844467,0.0011846865260813284,-0.0025488514475397904,-0.003081905122017627,0.07077214171721703,0.006816333900109725,0.10988349302481912,0.006629501379784643,0.08220528803229694,0.006875762607761801,,,,
84450,1067.0,-2750.0,LF,183.3,205.9,0.16157994853453206,0.0009598052215862485,-0.002863059735107913,-0.001598705040171595,0.06507643788126995,0.012514810297053924,0.11473775805777786,0.012366305391730848,0.05236357376686936,0.006966119353286619,,,,
84463,1067.0,20.0,LF,183.4,206.2,0.23160999607418212,0.0019895644382035326,-0.004638118395279785,-0.0036044419972836774,0.06302625891514868,0.0002484357951305917,0.05010758660467866,0.0005266462464715307,0.8799638603717543,0.019513964345101345,,,,
84467,1067.0,-20.0,LF,183.5,206.3,0.22623981479927707,0.0020593291258492194,-0.0006231974165094981,-0.0037061733327451267,0.060955003595584464,0.0002403365120847554,0.04963432584976018,0.0005453048037183293,0.9215844129337915,0.02064653589747268,,,,
84471,1067.0,2750.0,LF,183.2,205.8,0.15746609914004364,0.0009288780362920016,-0.001197914822140353,-0.0015412130872606085,0.07038267166396683,0.012237662333372208,0.11271204151730053,0.012083802985570866,0.05401006278043496,0.007192983864026827,,,,
84475,1072.0,2750.0,LF,229.1,257.4,0.11570742638443608,0.0008298207070138159,-0.0007047872711910448,-0.0013181976572095586,0.07293741496103104,0.01050657807415339,0.10994444730693359,0.010370721167713199,0.0548438601151044,0.00644664680140774,,,,
84480,1072.0,20.0,LF,229.2,257.6,0.1809672408621201,0.0018963238184342916,0.0003950926661379061,0.0032443973594014214,0.05834855251577528,0.0002197070255528644,0.04980115815225636,0.0005009862917081481,0.9246037295099698,0.018924547153342786,,,,
84485,1072.0,0.0,LF,229.0,257.3,0.1272384720992298,0.0030529933260668722,0.0015178201629900872,0.004931158202841829,0.03191923656046962,0.0002534755284561456,0.03865030421665347,0.00044628954447532626,0.7773706429532224,0.02079390501592785,,,,
84490,1072.0,-20.0,LF,229.6,258.1,0.1669973901034538,0.0017240451656022047,0.001573302823550235,0.0029034165228867424,0.06522967520736135,0.00021208633021770992,0.05109017105871054,0.000477315451145497,0.9165715746974626,0.017539180400065055,,,,
84495,1072.0,-2750.0,LF,229.6,258.0,0.10821321523968593,0.0008554464614390554,-0.0009330313390560734,-0.0013488056126726,0.06498842457762134,0.011315029916191188,0.1153213436197246,0.01117495884205781,0.053511188509858545,0.006430232420398016,,,,
84500,1072.0,20.0,TF,229.0,257.3,0.1940909775477672,0.004645758434743905,0.008382327725292241,0.008085509935950738,0.028554508669542383,0.0001301148013183348,0.007607931530082193,0.0001657754944354115,,,1.7741165450748082,0.011162120689231433,0.26457651805086085,0.03728007241239168
84505,1080.0,2750.0,LF,229.1,257.4,0.050929633420462334,0.0008267103284972429,-0.0013363658907064092,-0.001231109528622967,0.09107316850557434,0.007305119859226058,0.0928280330402229,0.007168067506391246,0.06698984899141557,0.006757450580003663,,,,
84510,1080.0,-2750.0,LF,229.1,257.4,0.0519284467180927,0.00084973565100981,-8.418785906692961e-05,-0.001265927449440595,0.06843075049695903,0.011932572812431612,0.11276842664499694,0.011792275742031127,0.05214369227405022,0.006723550327265376,,,,
84515,1045.0,2750.0,LF,228.8,257.1,0.5546446902572303,0.0008745200856811077,-0.0024576530701001216,-0.002515588561958181,0.058984564599475015,0.01455035930422458,0.12376186410304016,0.014409184281511486,0.04706034081668296,0.006624166905161026,,,,
84520,1045.0,-2750.0,LF,228.8,257.1,0.5631066543940074,0.0009033326094076191,-0.0032657074864920897,-0.0026414749030185427,0.054402272632329385,0.01485684084765923,0.12564415935865164,0.014714280070925567,0.04682538633032871,0.006622202098960937,,,,
84525,1045.0,20.0,LF,138.5,155.8,0.439412783937065,0.002305831002238591,0.004557213251846652,0.005515145587200663,0.06475927676592433,0.00030120488356284833,0.05120138576689221,0.000669353227594973,0.9076439273911234,0.024437950460460472,,,,
84541,1045.0,-2250.0,LF,183.1,205.8,0.28963619247567063,0.0009928161306214716,-0.0031631953030936215,-0.0019140099852709674,0.07722765553474728,0.005007309015856133,0.10347155561152786,0.004849577509485155,0.08893129681279631,0.005926435341890708,,,,
84545,1045.0,0.0,LF,183.6,206.4,0.22777749135926606,0.003562366750406135,-0.012774856884983662,-0.006434260806966949,0.030844884304354867,0.00027571376289343074,0.037293507752231676,0.0004956884648794635,0.7873080162434987,0.023999833041421434,,,,
84549,1045.0,-30.0,LF,183.3,206.1,0.33961408598463994,0.0018135509833823989,-0.0033304879879771563,-0.0037556351493022353,0.07167678782880896,0.0002533327369992075,0.051098728281473445,0.0005454859972028686,0.8889733681288214,0.019874694686709743,,,,
84555,1045.0,-2750.0,LF,151.2,169.9,0.0991416334553813,0.0010523236667646513,-0.0014624240502351287,-0.0016433857147113505,0.05842916879182481,0.01738615673825834,0.12190944010517867,0.01720382317834991,0.0490384633949841,0.008431128983173882,,,,
84560,1045.0,-2750.0,LF,137.8,154.9,0.16835926863281273,0.0011033856576270651,-0.004756621742086426,-0.0018524713138840787,0.05010139737435443,0.01988969968254557,0.13045874134411603,0.019703064962414873,0.04617778635747741,0.008403758291981376,,,,
84564,1045.0,0.0,LF,137.3,154.3,0.15270477850568068,0.004049585363491835,0.005998417933039131,0.006722756206911556,0.031026706047261373,0.0003199438404812514,0.037416464745460676,0.000548569126505446,0.7615902751371106,0.02622980198221649,,,,
84568,1045.0,2750.0,LF,184.2,206.9,0.4474562390755538,0.0009528383945589916,-0.0027564229108227286,-0.002276827409255344,0.07161615575098916,0.012597970125774556,0.11168588385492824,0.012440605217800361,0.05380694580037432,0.007439846727757735,,,,
84573,1053.0,2750.0,LF,27.9,31.3,0.2334970749943765,0.002386991658312617,0.0009503127655323966,0.004300203452930165,0.09248246404527019,0.019792717550005626,0.09090396268556052,0.019394124099960455,0.0690806408663145,0.01945751411290942,,,,
84576,1053.0,2750.0,LF,27.8,31.3,0.2670675002195285,0.0023901255289235624,0.0012734634647081989,0.004482450546749132,-0.09376387183624682,0.24176975365129688,0.27597284085038987,0.24137601803357506,0.01858664027844725,0.01755079803300342,,,,
84579,1055.0,2750.0,LF,27.9,31.3,0.23615394849228902,0.0023963288594092023,0.0027908115528163914,0.004338805370711085,0.05381304139270206,0.04042729150310713,0.12909911905543772,0.04002446896833222,0.047159590417972096,0.01772645928462649,,,,
84589,1033.0,2750.0,LF,137.6,154.6,0.36022572942763437,0.0010905408655001911,-0.0035048079286731735,-0.0023002337905297684,0.06324525487658601,0.017355249879373237,0.11949378987265431,0.017170563978790875,0.049352854959097116,0.008651931501573824,,,,
84592,1033.0,2750.0,LF,137.4,154.4,0.3582614709009838,0.0010925021444226546,-0.0005953136841821541,-0.002298362512127081,0.06907882321411815,0.014916647664240158,0.11349854455825548,0.014737080798675202,0.05276564376722468,0.008470547039811644,,,,
84599,1033.0,-2750.0,LF,137.5,154.6,0.36457621204009116,0.001127653788874334,-0.006237434013715103,-0.002391234452511947,0.08484841814005571,0.009402368050432567,0.09534602211229123,0.0092248999098178,0.06710678422883133,0.008489579448210745,,,,
84601,1022.0,-2750.0,LF,19.6,22.0,0.27506144869318455,0.0029501115278094867,0.006788039011663004,0.005586240373607784,0.060317558816890826,0.04784784256234209,0.11889110924837513,0.04736102917343012,0.04777489036081701,0.02312460350804484,,,,
84606,1022.0,2750.0,LF,137.5,154.5,0.2750282851365044,0.0010829324709376918,-0.003404704181053115,-0.00205041848372493,0.08594929395327033,0.010057383761785868,0.0969444654544277,0.009873545947957271,0.06600816112216663,0.008751109278328019,,,,
84610,1055.0,-2750.0,LF,137.6,154.6,0.11942352157241809,0.001103625908352542,4.303513283293089e-05,0.0017606433328666207,0.07990816566774865,0.010346130315684005,0.10091886869492497,0.010166964584683223,0.0640689926395048,0.008340233593298295,,,,
84617,1055.0,-2750.0,LF,220.0,247.2,0.20942542366884453,0.0008482814261232487,-0.005954104617786647,-0.001488902499531987,0.0771317049859641,0.010664476112742913,0.10624153470356282,0.010513106727022931,0.05753833577247515,0.007173336050449785,,,,
84621,1055.0,4000.0,LF,165.6,186.0,0.18639901644509177,0.0008441946683005759,-0.002538134752775517,-0.001442286066272569,-0.49999949662177806,2.6322738540838335,0.7054750994643575,2.6321112209940134,0.0036272464373407324,0.013734729232267609,,,,
84628,1055.0,1200.0,LF,164.8,185.3,0.1117154203259538,0.0010548230861489897,-0.004524154031821605,-0.001669258164299306,0.09771623358601712,0.0009496868409423182,0.09800223570382974,0.0008188901622615246,0.25092363869393225,0.005025379179077646,,,,
84631,1055.0,-1200.0,LF,164.8,185.2,0.11223495795795516,0.0010724199807354143,-0.0020675145156382802,-0.0016975881594113599,0.09575047617055384,0.0009654478494459551,0.0982072056370026,0.0008338472673262244,0.24827507562740747,0.005017019854379085,,,,
84638,1055.0,-4000.0,LF,165.1,185.5,0.18515552824517542,0.0008741710424648306,-0.004636701274663265,-0.0014905999451993572,0.13195431167456795,0.01803101406490869,0.0713399802493275,0.017874918215803275,0.04449204874672128,0.013332304829712082,,,,
84641,1055.0,-20.0,LF,219.5,246.8,0.2811368656262526,0.0020237890417895694,-0.006853156826646072,-0.0038916549118981113,0.05543759281518186,0.00022773256529497041,0.04966658765374207,0.0004920800680998673,0.8906825827071848,0.018443166640297323,,,,
84645,1055.0,20.0,LF,219.9,247.2,0.27988913647568775,0.0017390376025934486,-0.0011061470487114906,-0.0033380415847651377,0.06717686943469528,0.0002277195226132686,0.050419100046507244,0.0005028268072003881,0.9050943229893095,0.01864507359970875,,,,
84649,1055.0,0.0,LF,164.7,185.1,0.19184219151253826,0.0035503188097095986,0.002956757676086979,0.006156258320423274,0.032580374248160154,0.0002840713501249587,0.03928704166656023,0.0005060776358100932,0.7822482548803416,0.023215236679075168,,,,
