,B-Field(G),LOff Events(MeV),Loff A,Loff A Err,Loff B,Loff B Err,Loff g,Loff g Err
-2750.0,-2750.0,837.0091571829236,0.07001120728084229,0.003933923386306099,0.1107899450598789,0.0038828514440394433,0.05496539128838021,0.00240162074300731
-2250.0,-2250.0,159.94878070222396,0.07499188393106296,0.004125971336703567,0.10569188615240134,0.004002502909547842,0.0864253710434174,0.004609068766273456
-1200.0,-1200.0,82.38545555460149,0.09575047673210252,0.0009654478339835279,0.09820720522339756,0.0008338472526871006,0.24827507872658763,0.005017019892971943
-30.0,-30.0,91.65205522346668,0.07167678323273259,0.0002533328308592155,0.0510987209796173,0.0005454857603574204,0.8889728888404959,0.019874686183654556
-20.0,-20.0,407.8484082592885,0.06127306873788876,0.00012065608857278709,0.050254516751424706,0.00027018367132775105,0.9133768040013193,0.010080554537727502
-10.0,-10.0,91.6654200533512,0.04672372169244793,0.0002465413690585953,0.04819553787119694,0.0005609229017204822,0.9236796558294654,0.021904171946828782
0.0,0.0,539.2602294741056,0.030364272254981166,0.00012739664434658233,0.036196000677791974,0.0002115880735136292,0.745545485621518,0.01039897279105555
1.0,1.0,91.15646368896611,0.02665693839040717,0.00036685121634326656,0.025442915868228593,0.0004468833340465552,0.5877406763474651,0.028551865103214665
3.0,3.0,91.13749680433267,0.029575466772151233,0.00030285240415312865,0.03528059525444559,0.0004899481340166672,0.7320151794021776,0.024588010974184275
10.0,10.0,100.8085907077163,0.041900317366708226,0.00023299484660280683,0.046141517270207794,0.0005110820051361593,0.9006970633562053,0.020703877560143705
30.0,30.0,90.99941737131793,0.0719494138390376,0.00025512619961078786,0.04984674953702899,0.0005340133467341702,0.8717516702270682,0.01983851728128565
100.0,100.0,9.210675623553065,0.09553721332551561,0.0007987980908573183,0.04825465480111579,0.0017187377447405595,0.8742685084813078,0.06521806899585383
300.0,300.0,9.15305805270898,0.10132717916639025,0.0009407779339317249,0.057366988258898174,0.0014512826050630838,0.697492264857515,0.04364348204551255
500.0,500.0,91.23251431385688,0.10310183439315558,0.0003088185554394138,0.07106239077312379,0.0004453372239413857,0.6673252248846097,0.010697884150782893
1000.0,1000.0,9.21509675033795,0.1010193034085937,0.001980535872148533,0.0915669591304812,0.0017089266884641409,0.3418266055017402,0.018093801400298662
1200.0,1200.0,82.39877943131746,0.0977162336198383,0.0009496868396840669,0.09800223567989601,0.0008188901603577337,0.25092363888885744,0.005025379182738426
1500.0,1500.0,9.235281153319619,0.0837634003193787,0.0058373898743179845,0.10606527315908994,0.0053814025552188375,0.14997653128758562,0.013768340633785523
2000.0,2000.0,9.309300405903286,0.11013064069981111,0.005745840038021696,0.07677579560266619,0.005235286048468647,0.16334360491856423,0.021291129837656825
2250.0,2250.0,182.7230652442278,0.06897535644368004,0.004637122928070517,0.11318746100860018,0.004528420948021855,0.07546884184360805,0.004078157435326777
2750.0,2750.0,957.6581724784617,0.07879284594674758,0.003314043045543431,0.10418130604019896,0.0032658199397311476,0.058436714038147854,0.002314710290567517
